version,input_file,timesteps,time (s)
Python,bottle.dat,100,8.447781801223755
Python,bottle.dat,200,16.660531520843506
Python,bottle.dat,500,39.908897161483765
Python,bottle.dat,1000,80.58304047584534
Python,bottle.dat,2000,169.16784858703613
Python,bottle.dat,3000,239.05719184875488
Python,bottle_medium.dat,100,57.981661796569824
Python,bottle_medium.dat,200,118.23077321052551
Python,bottle_medium.dat,500,291.01924204826355
Python,bottle_medium.dat,1000,578.4375791549683
Python,bottle_medium.dat,2000,1166.0884444713593
Python,bottle_medium.dat,3000,1735.370258808136
Python,bottle_large.dat,100,235.1865508556366
Python,bottle_large.dat,200,469.64612007141113
Python,bottle_large.dat,500,1177.6250848770142
Python,bottle_large.dat,1000,2400.089686393738
Python,bottle_large.dat,2000,4715.1240112781525
Python,bottle_large.dat,3000,7082.51166176796
Cython,bottle.dat,100,0.01631951332092285
Cython,bottle.dat,200,0.03351259231567383
Cython,bottle.dat,500,0.08727526664733887
Cython,bottle.dat,1000,0.17714953422546387
Cython,bottle.dat,2000,0.3468458652496338
Cython,bottle.dat,3000,0.5203485488891602
Cython,bottle_medium.dat,100,0.1303715705871582
Cython,bottle_medium.dat,200,0.2670907974243164
Cython,bottle_medium.dat,500,0.6968379020690918
Cython,bottle_medium.dat,1000,1.3495988845825195
Cython,bottle_medium.dat,2000,2.8211355209350586
Cython,bottle_medium.dat,3000,4.263882637023926
Cython,bottle_large.dat,100,0.6245782375335693
Cython,bottle_large.dat,200,1.3062009811401367
Cython,bottle_large.dat,500,3.1933157444000244
Cython,bottle_large.dat,1000,6.475523233413696
Cython,bottle_large.dat,2000,12.824121236801147
Cython,bottle_large.dat,3000,19.796812057495117
